Country,Emotion
armenia,0.9776
armenia,0.9776
senegal,0.9776
saint pierre and miquelon,0.9937
libya,0.9937
libya,0.9937
israel,0.9937
albania,0.9937
egypt,0.9937
france,0.9937
colombia,0.9937
libya,0.9937
albania,0.9937
libya,0.9937
turkey,0.9937
libya,0.9937
albania,0.9937
libya,0.9937
lebanon,0.9937
albania,0.9937
spain,0.9937
france,0.9937
albania,0.9937
albania,0.9937
egypt,0.9937
egypt,0.9937
sudan,0.9937
libya,0.9937
egypt,0.9937
cocos (keeling) islands,0.8957
comoros,0.8957
cocos (keeling) islands,0.8957
saint pierre and miquelon,-0.5994
panama,-0.5994
saint pierre and miquelon,-0.5994
panama,-0.5994
cocos (keeling) islands,-0.5994
andorra,-0.5994
cocos (keeling) islands,-0.5994
comoros,0.9948
saint pierre and miquelon,0.9948
libya,0.9948
saint pierre and miquelon,0.9948
israel,0.9948
albania,0.9948
egypt,0.9948
france,0.9948
colombia,0.9948
albania,0.9948
libya,0.9948
albania,0.9948
kiribati,0.9948
libya,0.9948
turkey,0.9948
libya,0.9948
albania,0.9948
israel,0.9948
libya,0.9948
lebanon,0.9948
albania,0.9948
spain,0.9948
france,0.9948
albania,0.9948
albania,0.9948
egypt,0.9948
egypt,0.9948
sudan,0.9948
libya,0.9948
egypt,0.9948
saint pierre and miquelon,0.9948
saint pierre and miquelon,-0.7184
saint pierre and miquelon,-0.7184
saint pierre and miquelon,-0.9968
libya,-0.9968
egypt,-0.9968
saint pierre and miquelon,-0.9968
libya,-0.9968
egypt,-0.9968
libya,-0.9968
egypt,-0.9968
saint pierre and miquelon,-0.9968
egypt,-0.9968
libya,-0.9968
iraq,-0.9968
afghanistan,-0.9968
libya,-0.9968
egypt,-0.9968
saint pierre and miquelon,0.995
libya,0.995
saint pierre and miquelon,0.995
israel,0.995
albania,0.995
egypt,0.995
france,0.995
colombia,0.995
libya,0.995
albania,0.995
libya,0.995
turkey,0.995
libya,0.995
albania,0.995
libya,0.995
lebanon,0.995
albania,0.995
spain,0.995
france,0.995
albania,0.995
albania,0.995
egypt,0.995
egypt,0.995
sudan,0.995
libya,0.995
egypt,0.995
saint pierre and miquelon,0.995
saint pierre and miquelon,0.9986
saint pierre and miquelon,0.9986
guyana,0.9986
guyana,0.9986
libya,0.9986
saint pierre and miquelon,0.9986
libya,0.9986
libya,0.9986
armenia,0.9986
libya,0.9986
morocco,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
libya,0.9986
